09/14/2021-14:29:48.809559  [**] [1:50200001:1] Attempt to access /bin* [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 172.245.26.145:80 -> 10.0.0.147:49678
09/14/2021-14:29:48.892253  [**] [1:50200001:1] Attempt to access /bin* [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.147:49680 -> 172.245.26.145:80
09/14/2021-14:30:07.082790  [**] [1:50100002:1] Possible XSS attack, js event handler [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.147:49686 -> 13.107.5.80:80
09/14/2021-14:30:07.288552  [**] [1:50100002:1] Possible XSS attack, js event handler [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.147:49686 -> 13.107.5.80:80
09/14/2021-14:30:07.538175  [**] [1:50100002:1] Possible XSS attack, js event handler [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.147:49686 -> 13.107.5.80:80
09/14/2021-14:30:08.173659  [**] [1:50100002:1] Possible XSS attack, js event handler [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.147:49686 -> 13.107.5.80:80
09/14/2021-14:30:09.023652  [**] [1:50200011:1] Attempt to access /lib* [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.147:49692 -> 104.16.18.94:80
09/14/2021-14:30:09.044199  [**] [1:50100001:1] Possible XSS attack, script tag [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 172.245.26.145:80 -> 10.0.0.147:49687
09/14/2021-14:30:09.044199  [**] [1:50100002:1] Possible XSS attack, js event handler [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 172.245.26.145:80 -> 10.0.0.147:49687
09/14/2021-14:30:09.044199  [**] [1:50200011:1] Attempt to access /lib* [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 172.245.26.145:80 -> 10.0.0.147:49687
09/14/2021-14:30:09.149721  [**] [1:50100001:1] Possible XSS attack, script tag [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 172.245.26.145:80 -> 10.0.0.147:49687
09/14/2021-14:30:09.239812  [**] [1:50200009:1] Attempt to access /home* [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 172.245.26.145:80 -> 10.0.0.147:49687
09/14/2021-14:30:09.240861  [**] [1:50200009:1] Attempt to access /home* [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 172.245.26.145:80 -> 10.0.0.147:49687
09/14/2021-14:30:09.250890  [**] [1:50200011:1] Attempt to access /lib* [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 172.245.26.145:80 -> 10.0.0.147:49689
09/14/2021-14:30:09.329929  [**] [1:50200009:1] Attempt to access /home* [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 172.245.26.145:80 -> 10.0.0.147:49687
09/14/2021-14:30:09.330689  [**] [1:50200009:1] Attempt to access /home* [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 172.245.26.145:80 -> 10.0.0.147:49687
09/14/2021-14:30:09.341415  [**] [1:50200009:1] Attempt to access /home* [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 172.245.26.145:80 -> 10.0.0.147:49687
09/14/2021-14:30:09.342407  [**] [1:50200009:1] Attempt to access /home* [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 172.245.26.145:80 -> 10.0.0.147:49687
09/14/2021-14:30:09.342569  [**] [1:50200009:1] Attempt to access /home* [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 172.245.26.145:80 -> 10.0.0.147:49687
09/14/2021-14:30:09.343894  [**] [1:50100002:1] Possible XSS attack, js event handler [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 172.245.26.145:80 -> 10.0.0.147:49694
09/14/2021-14:30:09.420529  [**] [1:50200009:1] Attempt to access /home* [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 172.245.26.145:80 -> 10.0.0.147:49687
09/14/2021-14:30:09.421620  [**] [1:50200009:1] Attempt to access /home* [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 172.245.26.145:80 -> 10.0.0.147:49687
09/14/2021-14:30:09.434271  [**] [1:50200009:1] Attempt to access /home* [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 172.245.26.145:80 -> 10.0.0.147:49687
09/14/2021-14:30:09.439318  [**] [1:50200009:1] Attempt to access /home* [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 172.245.26.145:80 -> 10.0.0.147:49687
09/14/2021-14:30:09.441283  [**] [1:50200014:1] Attempt to access /media* [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 172.245.26.145:80 -> 10.0.0.147:49689
09/14/2021-14:30:09.442712  [**] [1:50100002:1] Possible XSS attack, js event handler [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 172.245.26.145:80 -> 10.0.0.147:49694
09/14/2021-14:30:09.510826  [**] [1:50200009:1] Attempt to access /home* [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 172.245.26.145:80 -> 10.0.0.147:49687
09/14/2021-14:30:09.511353  [**] [1:50200009:1] Attempt to access /home* [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 172.245.26.145:80 -> 10.0.0.147:49687
09/14/2021-14:30:09.513294  [**] [1:50200009:1] Attempt to access /home* [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 172.245.26.145:80 -> 10.0.0.147:49687
09/14/2021-14:30:09.513632  [**] [1:50200009:1] Attempt to access /home* [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 172.245.26.145:80 -> 10.0.0.147:49687
09/14/2021-14:30:09.513921  [**] [1:50200009:1] Attempt to access /home* [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 172.245.26.145:80 -> 10.0.0.147:49687
09/14/2021-14:30:09.524489  [**] [1:50200009:1] Attempt to access /home* [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 172.245.26.145:80 -> 10.0.0.147:49687
09/14/2021-14:30:09.524794  [**] [1:50200009:1] Attempt to access /home* [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 172.245.26.145:80 -> 10.0.0.147:49687
09/14/2021-14:30:09.525042  [**] [1:50200009:1] Attempt to access /home* [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 172.245.26.145:80 -> 10.0.0.147:49687
09/14/2021-14:30:09.525694  [**] [1:50200009:1] Attempt to access /home* [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 172.245.26.145:80 -> 10.0.0.147:49687
09/14/2021-14:30:09.535615  [**] [1:50200009:1] Attempt to access /home* [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 172.245.26.145:80 -> 10.0.0.147:49687
09/14/2021-14:30:09.536137  [**] [1:50200009:1] Attempt to access /home* [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 172.245.26.145:80 -> 10.0.0.147:49687
09/14/2021-14:30:09.545498  [**] [1:50200009:1] Attempt to access /home* [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 172.245.26.145:80 -> 10.0.0.147:49687
09/14/2021-14:30:09.545930  [**] [1:50200009:1] Attempt to access /home* [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 172.245.26.145:80 -> 10.0.0.147:49687
09/14/2021-14:30:09.546151  [**] [1:50200009:1] Attempt to access /home* [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 172.245.26.145:80 -> 10.0.0.147:49687
